Time;cogumelo;Anotação
13:28:06.025 ;501;0
13:28:08.776 ;-678;0
13:28:11.531 ;-1017;0
13:28:14.280 ;-1896;0
13:28:17.034 ;-1956;0
13:28:19.789 ;6675;0
13:28:22.528 ;1841;0
13:28:25.277 ;4865;0
13:28:28.010 ;2029;0
13:28:30.759 ;4742;0
13:28:33.530 ;5903;0
13:28:36.249 ;6139;0
13:28:39.018 ;5073;0
13:28:41.761 ;8952;0
13:28:44.523 ;3843;0
13:28:47.269 ;3232;0
13:28:50.015 ;3377;0
13:28:52.748 ;3534;0
13:28:55.484 ;3360;0
13:28:58.259 ;6569;0
13:29:00.998 ;3749;0
13:29:03.760 ;-706;0
13:29:06.481 ;-1966;0
13:29:09.246 ;-3759;0
13:29:11.995 ;-1869;0
13:29:14.750 ;-5158;0
13:29:17.477 ;-2541;0
13:29:20.245 ;873;0
13:29:22.974 ;-3230;0
13:29:25.723 ;-2779;0
13:29:28.460 ;-3564;0
13:29:31.214 ;-3322;0
13:29:33.982 ;-5190;0
13:29:36.701 ;-6604;0
13:29:39.470 ;-7333;0
13:29:42.207 ;-5452;0
13:29:44.952 ;-3688;0
13:29:47.709 ;-1696;0
13:29:50.460 ;-3058;0
13:29:53.196 ;-3460;0
13:29:55.950 ;-1837;0
13:29:58.703 ;1760;0
13:30:01.443 ;4677;0
13:30:04.176 ;7123;0
13:30:06.936 ;8354;0
13:30:09.685 ;4155;0
13:30:12.434 ;5451;0
13:30:15.174 ;4236;0
13:30:17.941 ;2965;0
13:30:20.686 ;1191;0
13:30:23.419 ;3101;0
13:30:26.168 ;6600;0
13:30:28.902 ;10481;0
13:30:31.661 ;5261;0
13:30:34.424 ;1735;0
13:30:37.143 ;1440;0
13:30:39.911 ;831;0
13:30:42.662 ;159;0
13:30:45.393 ;10695;0
13:30:48.142 ;15537;0
13:30:50.914 ;16260;0
13:30:53.647 ;16106;0
13:30:56.375 ;15156;0
13:30:59.148 ;15062;0
13:31:01.874 ;8633;0
13:31:04.631 ;3422;0
13:31:07.366 ;2897;0
13:31:10.128 ;4104;0
13:31:12.858 ;2303;0
13:31:15.622 ;399;0
13:31:18.352 ;2510;0
13:31:21.131 ;3417;0
13:31:23.878 ;1091;0
13:31:26.602 ;1382;0
13:31:29.341 ;2092;0
13:31:32.116 ;2044;0
13:31:34.840 ;440;0
13:31:37.612 ;-788;0
13:31:40.342 ;2789;0
13:31:43.103 ;1480;0
13:31:45.834 ;-1476;0
13:31:48.580 ;2286;0
13:31:51.336 ;909;0
13:31:54.085 ;1476;0
13:31:56.829 ;730;0
13:31:59.589 ;-602;0
13:32:02.319 ;-209;0
13:32:05.059 ;-92;0
13:32:07.836 ;1728;0
13:32:10.563 ;3583;0
13:32:13.317 ;1793;0
13:32:16.062 ;3108;0
13:32:18.809 ;3853;0
13:32:21.575 ;3561;0
13:32:24.292 ;3115;0
13:32:27.063 ;3148;0
13:32:29.787 ;4020;0
13:32:32.568 ;7606;0
13:32:35.309 ;6132;0
13:32:38.036 ;5636;0
13:32:40.789 ;7297;0
13:32:43.533 ;4336;0
13:32:46.270 ;5010;0
13:32:49.034 ;7374;0
13:32:51.779 ;6164;0
13:32:54.528 ;3599;0
13:32:57.278 ;843;0
13:33:00.014 ;889;0
13:33:02.762 ;1199;0
13:33:05.511 ;509;0
13:33:08.276 ;1041;0
13:33:11.017 ;5844;0
13:33:13.767 ;5461;0
13:33:16.496 ;6735;0
13:33:19.241 ;8827;0
13:33:21.989 ;7209;0
13:33:24.766 ;5756;0
13:33:27.478 ;4067;0
13:33:30.248 ;5125;0
13:33:32.980 ;3542;0
13:33:35.747 ;1991;0
13:33:38.506 ;3087;0
13:33:41.216 ;4355;0
13:33:43.960 ;4010;0
13:33:46.737 ;3485;0
13:33:49.470 ;6391;0
13:33:52.221 ;5848;0
13:33:54.958 ;7507;0
13:33:57.718 ;8410;0
13:34:00.449 ;5099;0
13:34:03.201 ;4457;0
13:34:05.980 ;4151;0
13:34:08.694 ;692;0
13:34:11.449 ;920;0
13:34:14.196 ;1556;0
13:34:16.928 ;-5072;0
13:34:19.691 ;-2782;0
13:34:22.448 ;-1464;0
13:34:25.185 ;-882;0
13:34:27.948 ;3756;0
13:34:30.667 ;2531;0
13:34:33.446 ;-510;0
13:34:36.164 ;1130;0
13:34:38.918 ;1599;0
13:34:41.685 ;3004;0
13:34:44.436 ;1184;0
13:34:47.157 ;4388;0
13:34:49.900 ;4478;0
13:34:52.665 ;2949;0
13:34:55.405 ;2580;0
13:34:58.178 ;4183;0
13:35:00.900 ;7223;0
13:35:03.665 ;6317;0
13:35:06.412 ;4620;0
13:35:09.129 ;4243;0
13:35:11.885 ;3392;0
13:35:14.639 ;5012;0
13:35:17.377 ;3281;0
13:35:20.140 ;-219;0
13:35:22.889 ;-1464;0
13:35:25.637 ;-2033;0
13:35:28.384 ;-938;0
13:35:31.137 ;1252;0
13:35:33.865 ;-393;0
13:35:36.624 ;-594;0
13:35:39.356 ;-3388;0
13:35:42.094 ;-4772;0
13:35:44.850 ;-5543;0
13:35:47.587 ;-4849;0
13:35:50.367 ;-5578;0
13:35:53.091 ;-6794;0
13:35:55.829 ;-6097;0
13:35:58.597 ;-5782;0
13:36:01.341 ;-4457;0
13:36:04.098 ;-9678;0
13:36:06.848 ;-6467;0
13:36:09.584 ;-2937;0
13:36:12.311 ;-2885;0
13:36:15.065 ;-1283;0
13:36:17.844 ;1019;0
13:36:20.570 ;1443;0
13:36:23.326 ;-584;0
13:36:26.086 ;-885;0
13:36:28.817 ;-622;0
13:36:31.553 ;-565;0
13:36:34.309 ;-770;0
13:36:37.033 ;-2532;0
13:36:39.783 ;-463;0
13:36:42.555 ;-477;0
13:36:45.300 ;-254;0
13:36:48.037 ;-733;0
13:36:50.774 ;946;0
13:36:53.527 ;-633;0
13:36:56.268 ;-317;0
13:36:59.030 ;-1535;0
13:37:01.794 ;258;0
13:37:04.542 ;-925;0
13:37:07.258 ;-851;0
13:37:09.999 ;412;0
13:37:12.746 ;-277;0
13:37:15.498 ;19;0
13:37:18.262 ;-1774;0
13:37:21.019 ;-2032;0
13:37:23.756 ;2020;0
13:37:26.491 ;1665;0
13:37:29.255 ;1860;0
13:37:32.001 ;2390;0
13:37:34.746 ;4127;0
13:37:37.504 ;4409;0
13:37:40.232 ;784;0
13:37:42.971 ;90;0
13:37:45.727 ;-1656;0
13:37:48.487 ;1344;0
13:37:51.235 ;296;0
13:37:53.976 ;-484;0
13:37:56.725 ;557;0
13:37:59.475 ;624;0
13:38:02.214 ;2231;0
13:38:04.970 ;4413;0
13:38:07.719 ;4713;0
13:38:10.447 ;4439;0
13:38:13.199 ;3709;0
13:38:15.950 ;4939;0
13:38:18.702 ;1298;0
13:38:21.428 ;2424;0
13:38:24.209 ;4799;0
13:38:26.927 ;4299;0
13:38:29.676 ;3943;0
13:38:32.427 ;2345;0
13:38:35.183 ;1979;0
13:38:37.932 ;3277;0
13:38:40.669 ;2609;0
13:38:43.408 ;1408;0
13:38:46.154 ;3678;0
13:38:48.925 ;1765;0
13:38:51.640 ;5194;0
13:38:54.421 ;5191;0
13:38:57.137 ;6592;0
13:38:59.900 ;-1167;0
13:39:02.636 ;1965;0
13:39:05.400 ;-24;0
13:39:08.127 ;951;0
13:39:10.892 ;2729;0
13:39:13.633 ;3349;0
13:39:16.376 ;4603;0
13:39:19.127 ;6099;0
13:39:21.869 ;3641;0
13:39:24.626 ;4904;0
13:39:27.393 ;5019;0
13:39:30.110 ;4276;0
13:39:32.867 ;3860;0
13:39:35.628 ;5458;0
13:39:38.377 ;8280;0
13:39:41.121 ;5418;0
13:39:43.872 ;6530;0
13:39:46.603 ;5776;0
13:39:49.366 ;6413;0
13:39:52.099 ;5445;0
13:39:54.856 ;5661;0
13:39:57.599 ;2784;0
13:40:00.332 ;2180;0
13:40:03.062 ;1155;0
13:40:05.835 ;1213;0
13:40:08.562 ;3883;0
13:40:11.330 ;1455;0
13:40:14.056 ;-1515;0
13:40:16.799 ;1709;0
13:40:19.585 ;2742;0
13:40:22.320 ;1911;0
13:40:25.076 ;441;0
13:40:27.798 ;1909;0
13:40:30.546 ;2634;0
13:40:33.295 ;6008;0
13:40:36.063 ;6826;0
13:40:38.778 ;5705;0
13:40:41.535 ;7023;0
13:40:44.301 ;7318;0
13:40:47.027 ;9098;0
13:40:49.793 ;8689;0
13:40:52.527 ;5576;0
13:40:55.271 ;7871;0
13:40:58.023 ;11637;0
13:41:00.753 ;8462;0
13:41:03.500 ;7203;0
13:41:06.274 ;7293;0
13:41:09.027 ;4378;0
13:41:11.766 ;1517;0
13:41:14.505 ;715;0
13:41:17.250 ;2317;0
13:41:19.984 ;2611;0
13:41:22.758 ;1980;0
13:41:25.488 ;1099;0
13:41:28.257 ;3891;0
13:41:30.996 ;6281;0
13:41:33.729 ;6481;0
13:41:36.488 ;3096;0
13:41:39.236 ;4101;0
13:41:41.977 ;3033;0
13:41:44.711 ;4726;0
13:41:47.462 ;6247;0
13:41:50.237 ;3597;0
13:41:52.955 ;3686;0
13:41:55.722 ;4230;0
13:41:58.439 ;6800;0
13:42:01.190 ;5357;0
13:42:03.951 ;4853;0
13:42:06.699 ;4516;0
13:42:09.440 ;2908;0
13:42:12.197 ;4812;0
13:42:14.951 ;5366;0
13:42:17.697 ;7789;0
13:42:20.440 ;6328;0
13:42:23.190 ;5473;0
13:42:25.913 ;6128;0
13:42:28.663 ;5946;0
13:42:31.413 ;5646;0
13:42:34.182 ;7230;0
13:42:36.934 ;8181;0
13:42:39.646 ;7081;0
13:42:42.417 ;4150;0
13:42:45.173 ;4906;0
13:42:47.890 ;6492;0
13:42:50.632 ;9448;0
13:42:53.378 ;9951;0
13:42:56.138 ;6067;0
13:42:58.891 ;4908;0
13:43:01.650 ;4085;0
13:43:04.376 ;5575;0
13:43:07.117 ;5034;0
13:43:09.893 ;6293;0
13:43:12.630 ;5543;0
13:43:15.371 ;7622;0
13:43:18.113 ;8745;0
13:43:20.853 ;7273;0
13:43:23.620 ;6546;0
13:43:26.343 ;-127;0
13:43:29.115 ;8;0
13:43:31.864 ;1179;0
13:43:34.608 ;1393;0
13:43:37.346 ;3472;0
13:43:40.093 ;3088;0
13:43:42.837 ;4186;0
13:43:45.578 ;4081;0
13:43:48.342 ;3803;0
13:43:51.103 ;5101;0
13:43:53.814 ;7379;0
13:43:56.565 ;7106;0
13:43:59.342 ;4238;0
13:44:02.055 ;4424;0
13:44:04.830 ;5709;0
13:44:07.565 ;7248;0
13:44:10.332 ;5970;0
13:44:13.043 ;4502;0
13:44:15.823 ;3948;0
13:44:18.565 ;3057;0
13:44:21.324 ;4387;0
13:44:24.030 ;5987;0
13:44:26.780 ;6013;0
13:44:29.545 ;5370;0
13:44:32.280 ;4559;0
13:44:35.030 ;3667;0
13:44:37.773 ;4382;0
13:44:40.514 ;5776;0
13:44:43.293 ;5278;0
13:44:46.041 ;4263;0
13:44:48.784 ;4717;0
13:44:51.519 ;4655;0
13:44:54.269 ;8556;0
13:44:57.032 ;5790;0
13:44:59.773 ;6040;0
13:45:02.490 ;5322;0
13:45:05.266 ;7805;0
13:45:08.005 ;9934;0
13:45:10.757 ;9001;0
13:45:13.507 ;5639;0
13:45:16.249 ;6901;0
13:45:18.990 ;6009;0
13:45:21.748 ;6551;0
13:45:24.465 ;6480;0
13:45:27.236 ;6942;0
13:45:29.971 ;9263;0
13:45:32.735 ;10146;0
13:45:35.468 ;8416;0
13:45:38.226 ;7828;0
13:45:40.956 ;8703;0
13:45:43.718 ;9300;0
13:45:46.459 ;8169;0
13:45:49.209 ;10988;0
13:45:51.960 ;11332;0
13:45:54.698 ;8160;0
13:45:57.433 ;8975;0
13:46:00.196 ;13143;0
13:46:02.948 ;11330;0
13:46:05.674 ;10150;0
13:46:08.415 ;9987;0
13:46:11.163 ;9939;0
13:46:13.907 ;10504;0
13:46:16.684 ;10802;0
13:46:19.421 ;12402;0
13:46:22.163 ;9954;0
13:46:24.923 ;11559;0
13:46:27.673 ;12435;0
13:46:30.416 ;14514;0
13:46:33.158 ;14865;0
13:46:35.902 ;14428;0
13:46:38.633 ;13419;0
13:46:41.396 ;13285;0
13:46:44.140 ;11623;0
13:46:46.882 ;13233;0
13:46:49.625 ;13287;0
13:46:52.400 ;11532;0
13:46:55.144 ;11649;0
13:46:57.884 ;11496;0
13:47:00.606 ;11813;0
13:47:03.363 ;11312;0
13:47:06.132 ;11350;0
13:47:08.870 ;12486;0
13:47:11.616 ;12716;0
13:47:14.359 ;14943;0
13:47:17.125 ;15938;0
13:47:19.860 ;12996;0
13:47:22.602 ;11837;0
13:47:25.368 ;12691;0
13:47:28.082 ;12892;0
13:47:30.858 ;14397;0
13:47:33.577 ;14454;0
13:47:36.341 ;16324;0
13:47:39.073 ;17199;0
13:47:41.830 ;17816;0
13:47:44.599 ;16981;0
13:47:47.340 ;21243;0
13:47:50.065 ;21982;0
13:47:52.824 ;22115;0
13:47:55.550 ;20906;0
13:47:58.324 ;16696;0
13:48:01.060 ;18328;0
13:48:03.824 ;19537;0
13:48:06.542 ;20240;0
13:48:09.300 ;19954;0
13:48:12.050 ;18532;0
13:48:14.783 ;17002;0
13:48:17.528 ;17790;0
13:48:20.283 ;17302;0
13:48:23.049 ;19029;0
13:48:25.791 ;16744;0
13:48:28.532 ;16426;0
13:48:31.287 ;16396;0
13:48:34.043 ;16721;0
13:48:36.771 ;17300;0
13:48:39.517 ;17049;0
13:48:42.255 ;17288;0
13:48:45.008 ;17388;0
13:48:47.750 ;18202;0
13:48:50.495 ;17377;0
13:48:53.241 ;15027;0
13:48:55.992 ;17428;0
13:48:58.760 ;16874;0
13:49:01.486 ;16016;0
13:49:04.243 ;16406;0
13:49:06.976 ;14352;0
13:49:09.723 ;15387;0
13:49:12.468 ;13956;0
13:49:15.231 ;15719;0
13:49:17.956 ;16769;0
13:49:20.705 ;18517;0
13:49:23.484 ;20620;0
13:49:26.218 ;18891;0
13:49:28.969 ;18165;0
13:49:31.709 ;18558;0
13:49:34.442 ;20689;0
13:49:37.216 ;20398;0
13:49:39.976 ;21113;0
13:49:42.685 ;18045;0
13:49:45.428 ;18217;0
13:49:48.210 ;18091;0
13:49:50.923 ;16563;0
13:49:53.675 ;16419;0
13:49:56.439 ;16970;0
13:49:59.167 ;16390;0
13:50:01.933 ;15766;0
13:50:04.661 ;15387;0
13:50:07.412 ;16574;0
13:50:10.161 ;18704;0
13:50:12.909 ;17605;0
13:50:15.671 ;16442;0
13:50:18.416 ;17233;0
13:50:21.174 ;18434;0
13:50:23.888 ;18061;0
13:50:26.651 ;17969;0
13:50:29.404 ;18296;0
13:50:32.131 ;18022;0
13:50:34.902 ;19035;0
13:50:37.637 ;19908;0
13:50:40.376 ;20661;0
13:50:43.126 ;20727;0
13:50:45.881 ;21428;0
13:50:48.636 ;21142;0
13:50:51.364 ;19137;0
13:50:54.132 ;19943;0
13:50:56.862 ;20177;0
13:50:59.596 ;20758;0
13:51:02.356 ;22471;0
13:51:05.114 ;22896;0
13:51:07.844 ;21892;0
13:51:10.613 ;22771;0
13:51:13.358 ;22037;0
13:51:16.117 ;20675;0
13:51:18.851 ;22007;0
13:51:21.591 ;22847;0
13:51:24.357 ;22163;0
13:51:27.100 ;21567;0
13:51:29.827 ;19934;0
13:51:32.576 ;20918;0
13:51:35.325 ;20629;0
13:51:38.088 ;22262;0
13:51:40.822 ;20785;0
13:51:43.582 ;21291;0
13:51:46.316 ;26046;0
13:51:49.050 ;27246;0
13:51:51.807 ;27203;0
13:51:54.550 ;25347;0
13:51:57.294 ;24165;0
13:52:00.040 ;20982;0
13:52:02.805 ;21985;0
13:52:05.537 ;22632;0
13:52:08.304 ;20278;0
13:52:11.039 ;20775;0
13:52:13.779 ;21778;0
13:52:16.533 ;21227;0
13:52:19.274 ;21851;0
13:52:22.026 ;22654;0
13:52:24.755 ;22645;0
13:52:27.504 ;23161;0
13:52:30.256 ;24641;0
13:52:33.000 ;23740;0
13:52:35.754 ;25221;0
13:52:38.517 ;23977;0
13:52:41.270 ;25024;0
13:52:44.012 ;23987;0
13:52:46.766 ;24865;0
13:52:49.490 ;25405;0
13:52:52.253 ;24061;0
13:52:55.001 ;22763;0
13:52:57.736 ;22687;0
13:53:00.474 ;22005;0
13:53:03.226 ;23454;0
13:53:05.976 ;22992;0
13:53:08.742 ;23920;0
13:53:11.492 ;23909;0
13:53:14.210 ;23864;0
13:53:16.951 ;26312;0
13:53:19.719 ;24237;0
13:53:22.441 ;23312;0
13:53:25.212 ;23611;0
13:53:27.962 ;24610;0
13:53:30.703 ;25414;0
13:53:33.451 ;24598;0
13:53:36.208 ;23699;0
13:53:38.941 ;24263;0
13:53:41.687 ;25190;0
13:53:44.434 ;24362;0
13:53:47.170 ;23067;0
13:53:49.925 ;24898;0
13:53:52.686 ;24831;0
13:53:55.428 ;24564;0
13:53:58.171 ;23295;0
13:54:00.913 ;21878;0
13:54:03.651 ;22430;0
13:54:06.435 ;22675;0
13:54:09.155 ;24757;0
13:54:11.905 ;23521;0
13:54:14.673 ;23613;0
13:54:17.384 ;25080;0
13:54:20.148 ;25991;0
13:54:22.904 ;25842;0
13:54:25.636 ;25107;0
13:54:28.381 ;19811;0
13:54:31.149 ;22703;0
13:54:33.902 ;23700;0
13:54:36.640 ;24688;0
13:54:39.379 ;26191;0
13:54:42.123 ;22907;0
13:54:44.879 ;22854;0
13:54:47.620 ;22607;0
13:54:50.378 ;22887;0
13:54:53.100 ;22080;0
13:54:55.851 ;22706;0
13:54:58.625 ;23827;0
13:55:01.368 ;22765;0
13:55:04.118 ;22203;0
13:55:06.844 ;23307;0
13:55:09.619 ;23149;0
13:55:12.366 ;22844;0
13:55:15.112 ;24032;0
13:55:17.829 ;24763;0
13:55:20.578 ;24973;0
13:55:23.340 ;25978;0
13:55:26.095 ;25841;0
13:55:28.828 ;30325;0
13:55:31.572 ;32078;0
13:55:34.325 ;34819;0
13:55:37.059 ;32764;0
