,ID 1 - Cogumelos Brancos  Last (V),ID 1 - Cogumelos Brancos  Ave. (V),ID 1 - Cogumelos Brancos  Min. (V),ID 1 - Cogumelos Brancos  Max. (V),ID 2 - Cogumelos Marrons Last (V),ID 2 - Cogumelos Marrons Ave. (V),ID 2 - Cogumelos Marrons Min. (V),ID 2 - Cogumelos Marrons Max. (V),Differential 9 - 10 Last (V),Differential 9 - 10 Ave. (V),Differential 9 - 10 Min. (V),Differential 9 - 10 Max. (V),Iluminação,Humidade
00:00:00,0,0,0,0,0,0,0,0,-43,-43,-43,-43,0,0
00:00:01,-1,-1,-1,-1,0,0,0,0,-43,-43,-43,-43,0,0
00:00:02,-1,-1,-1,-1,0,0,0,0,-43,-43,-43,-43,0,0
00:00:03,-1,-1,-1,-1,0,0,0,0,-43,-43,-43,-43,0,0
00:00:04,-1,-1,-1,-1,0,0,0,0,-43,-43,-43,-43,0,0
00:00:05,-1,-1,-1,-1,0,0,0,0,-43,-43,-43,-43,0,0
00:00:06,-1,-1,-1,-1,0,0,0,0,-43,-43,-43,-43,0,0
00:00:07,-1,-1,-1,-1,0,0,0,0,-43,-43,-43,-43,0,0
00:00:08,-1,-1,-1,-1,0,0,0,0,-43,-43,-43,-43,0,0
00:00:09,-1,-1,-1,-1,0,0,0,0,-43,-43,-43,-43,0,0
00:00:10,-1,-1,-1,-1,0,0,0,0,-43,-43,-43,-43,0,0
00:00:11,-1,-1,-1,-1,0,0,0,0,-43,-43,-43,-43,0,0
00:00:12,-1,-1,-1,-1,0,0,0,0,-42,-42,-42,-42,0,0
00:00:13,-1,-1,-1,-1,0,0,0,0,-42,-42,-42,-42,0,0
00:00:14,-1,-1,-1,-1,0,0,0,0,-43,-43,-43,-43,0,0
00:00:15,-1,-1,-1,-1,0,0,0,0,-43,-43,-43,-43,0,0
00:00:16,-1,-1,-1,-1,0,0,0,0,-42,-42,-42,-42,0,0
00:00:17,-1,-1,-1,-1,0,0,0,0,-42,-42,-42,-42,0,0
00:00:18,-1,-1,-1,-1,0,0,0,0,-42,-42,-42,-42,0,0
00:00:19,-1,-1,-1,-1,0,0,0,0,-43,-43,-43,-43,0,0
