Data,Timestamp,Channel 1 - Vermelho-Branco Ave. (?V),Channel 2 - Amarelo-Branco Ave. (?V),Channel 3 - Vermelho-Preto Ave. (?V),Channel 4 - Amarelo-Preto Ave. (?V),Channe 5 - Azul-Branco Ave. (?V),Channel 6 - Azul-Preto Ave. (?V),Status,Anomalia,,Humidade,Temperatura
09/05/2025 20:45:52,00:00:00,2.663583,211.559236,44.927001,188.685954,-87.153167,-94.939023,-1,,1,,
09/05/2025 20:45:53,00:00:01,-0.838190,210.702419,46.920031,212.285668,-88.326633,-95.255673,-1,,,,
09/05/2025 20:45:54,00:00:02,-2.142042,211.279839,47.069043,222.641975,-88.550150,-95.088035,-1,,,,
09/05/2025 20:45:55,00:00:03,-3.688037,211.037695,47.404319,231.359154,-87.060034,-94.305724,-1,,,,
09/05/2025 20:45:56,00:00:04,-12.852252,209.342688,43.269247,588.651747,-86.911023,-92.908740,-1,,,,
09/05/2025 20:45:57,00:00:05,-12.870878,208.336860,41.946769,587.757677,-86.519867,-92.014670,-1,,,,
09/05/2025 20:45:58,00:00:06,-14.696270,208.206475,41.387975,583.939254,-86.929649,-91.511756,-1,,,,
09/05/2025 20:45:59,00:00:07,-16.149133,207.331032,40.289015,584.963709,-86.650252,-91.884285,-1,,,,
09/05/2025 20:46:00,00:00:08,-18.253922,206.679106,37.644058,585.578382,-85.905194,-90.729445,-1,,,,
09/05/2025 20:46:01,00:00:09,-10.840595,215.750188,42.133033,-156.406313,-83.781779,-89.425594,-1,,,,
09/05/2025 20:46:02,00:00:10,-9.704381,215.601176,40.438026,-151.023269,-82.701445,-88.587403,-1,,,,
09/05/2025 20:46:03,00:00:11,-10.561198,214.595348,39.804727,-140.406191,-81.099570,-88.084489,-1,,,,
09/05/2025 20:46:04,00:00:12,-10.225922,215.210021,38.146973,-127.553940,-78.845769,-87.879598,-1,,,,
09/05/2025 20:46:04,00:00:13,-6.761402,208.113343,36.712736,140.126795,-77.020377,-88.624656,-1,,,,
09/05/2025 20:46:05,00:00:14,-6.165355,208.709389,36.489218,111.758709,-74.300915,-87.451190,-1,,,,
09/05/2025 20:46:06,00:00:15,-4.563481,209.528953,36.507845,85.253268,-72.550029,-86.929649,-1,,,,
09/05/2025 20:46:07,00:00:16,-5.811453,208.951533,36.079437,62.696636,-71.041286,-86.538494,-1,,,,
09/05/2025 20:46:08,00:00:17,-6.407499,209.081918,36.451966,44.070184,-69.867820,-83.614141,-1,,,,
09/05/2025 20:46:09,00:00:18,-12.442470,203.698874,32.130629,635.087490,-70.966780,-77.597797,-1,,,,
09/05/2025 20:46:10,00:00:19,-11.771917,203.102827,32.112002,616.796315,-69.364905,-77.337027,-1,,,,
09/05/2025 20:46:11,00:00:20,-8.735806,202.730298,32.950193,630.021095,-66.775829,-74.990094,-1,,,,
09/05/2025 20:46:12,00:00:21,-3.427267,202.730298,32.447278,630.002469,-65.155327,-73.257834,-1,,,,
09/05/2025 20:46:13,00:00:22,6.239861,213.310122,36.545098,-31.832606,-63.460320,-71.823597,-1,,,,
09/05/2025 20:46:14,00:00:23,9.499490,212.397426,36.079437,-36.675483,-61.467290,-72.754920,-1,,,,
09/05/2025 20:46:15,00:00:24,15.608966,211.764127,36.749989,-47.273934,-59.008598,-71.562827,-1,,,,
09/05/2025 20:46:16,00:00:25,39.488077,211.168081,36.377460,-53.867698,-59.381127,-70.873648,-1,,,,
09/05/2025 20:46:17,00:00:26,66.552311,203.922391,36.377460,53.904951,-60.349703,-73.313713,-1,,,,
09/05/2025 20:46:18,00:00:27,88.177621,205.952674,37.625432,77.020377,-61.448663,-73.555857,-1,,,,
09/05/2025 20:46:19,00:00:28,81.509352,205.822289,37.178397,100.433826,-62.268227,-74.263662,-1,,,,
09/05/2025 20:46:20,00:00:29,108.536333,206.176192,36.694109,133.346766,-61.001629,-75.213611,-1,,,,
09/05/2025 20:46:21,00:00:30,111.442059,205.803663,35.129488,156.536698,-61.858445,-75.921416,-1,,,,
09/05/2025 20:46:22,00:00:31,87.935477,202.953815,30.416995,594.183803,-62.249601,-74.543059,-1,,,,
09/05/2025 20:46:23,00:00:32,97.751617,203.307718,27.995557,588.260591,-61.392784,-75.157732,-1,,,,
09/05/2025 20:46:24,00:00:33,85.178763,202.897936,26.915222,584.777445,-60.759485,-75.735152,-1,,,,
09/05/2025 20:46:25,00:00:34,65.062195,202.488154,25.462359,586.677343,-60.573220,-75.399876,-1,,,,
09/05/2025 20:46:26,00:00:35,69.756061,210.385770,29.373914,-151.582062,-59.362501,-72.922558,-1,,,,
09/05/2025 20:46:27,00:00:36,87.823719,209.435821,26.896596,-134.054571,-59.772283,-75.921416,-1,,,,
09/05/2025 20:46:28,00:00:37,118.277967,210.329890,24.847686,-112.839043,-59.474260,-74.878335,-1,,,,
09/05/2025 20:46:29,00:00:38,172.313303,210.367143,22.519380,-91.567636,-58.840960,-74.729323,-1,,,,
09/05/2025 20:46:30,00:00:39,141.747296,205.319375,21.681190,79.013407,-58.058649,-75.586140,-1,,,,
09/05/2025 20:46:31,00:00:40,142.678618,205.859542,20.246953,46.659261,-57.350844,-75.567514,-1,,,,
09/05/2025 20:46:32,00:00:41,157.821923,205.785036,20.600855,6.854534,-55.748969,-74.934214,-1,,,,
09/05/2025 20:46:33,00:00:42,134.315342,206.921250,21.252781,-33.676624,-57.406723,-74.543059,-1,,,,
09/05/2025 20:46:34,00:00:43,111.237168,206.623226,22.128224,-82.459301,-56.717545,-72.754920,-1,,,,
09/05/2025 20:46:35,00:00:44,90.338290,198.222697,17.676502,609.736890,-57.574362,-70.668757,-1,,,,
