Sinal,Log,Diferenciacao
-43,"0,9542425094",
-43,"0,9542425094",0
-43,"0,9542425094",0
-43,"0,9542425094",0
-43,"0,9542425094",0
-43,"0,9542425094",0
-43,"0,9542425094",0
-43,"0,9542425094",0
-43,"0,9542425094",0
-43,"0,9542425094",0
-43,"0,9542425094",0
-43,"0,9542425094",0
-42,1,"0,04575749056"
-42,1,0
-43,"0,9542425094","-0,04575749056"
-43,"0,9542425094",0
-42,1,"0,04575749056"
-42,1,0
-42,1,0
-43,"0,9542425094","-0,04575749056"
-43,"0,9542425094",0
-42,1,"0,04575749056"
-42,1,0
-42,1,0
-43,"0,9542425094","-0,04575749056"
-43,"0,9542425094",0
-42,1,"0,04575749056"
-42,1,0
-42,1,0
-42,1,0
-42,1,0
-42,1,0
-42,1,0
-42,1,0
-42,1,0
-42,1,0
-42,1,0
-42,1,0
-42,1,0
-42,1,0
-42,1,0
-42,1,0
-42,1,0
-42,1,0
-42,1,0
-42,1,0
-42,1,0
-42,1,0
-42,1,0
-42,1,0
-42,1,0
-41,"1,041392685","0,04139268516"
-41,"1,041392685",0
-41,"1,041392685",0
-41,"1,041392685",0
-41,"1,041392685",0
-41,"1,041392685",0
-41,"1,041392685",0
-41,"1,041392685",0
-41,"1,041392685",0
-41,"1,041392685",0
-41,"1,041392685",0
-41,"1,041392685",0
-41,"1,041392685",0
-41,"1,041392685",0
-40,"1,079181246","0,03778856089"
-40,"1,079181246",0
-40,"1,079181246",0
-40,"1,079181246",0
-40,"1,079181246",0
-40,"1,079181246",0
-40,"1,079181246",0
-40,"1,079181246",0
-40,"1,079181246",0
-40,"1,079181246",0
-40,"1,079181246",0
-40,"1,079181246",0
-40,"1,079181246",0
-40,"1,079181246",0
-40,"1,079181246",0
-40,"1,079181246",0
-40,"1,079181246",0
-40,"1,079181246",0
-40,"1,079181246",0
-40,"1,079181246",0
-40,"1,079181246",0
-40,"1,079181246",0
-39,"1,113943352","0,03476210626"
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-39,"1,113943352",0
-38,"1,146128036","0,03218468337"
-39,"1,113943352","-0,03218468337"
-39,"1,113943352",0
-39,"1,113943352",0
-38,"1,146128036","0,03218468337"
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-37,"1,176091259","0,02996322338"
-37,"1,176091259",0
-38,"1,146128036","-0,02996322338"
-38,"1,146128036",0
-38,"1,146128036",0
-38,"1,146128036",0
-37,"1,176091259","0,02996322338"
-37,"1,176091259",0
-37,"1,176091259",0
-37,"1,176091259",0
-37,"1,176091259",0
-37,"1,176091259",0
-37,"1,176091259",0
-37,"1,176091259",0
-37,"1,176091259",0
-37,"1,176091259",0
-37,"1,176091259",0
-37,"1,176091259",0
-37,"1,176091259",0
-37,"1,176091259",0
-37,"1,176091259",0
-37,"1,176091259",0
-37,"1,176091259",0
-37,"1,176091259",0
-37,"1,176091259",0
-37,"1,176091259",0
-37,"1,176091259",0
-37,"1,176091259",0
-37,"1,176091259",0
-37,"1,176091259",0
-37,"1,176091259",0
-36,"1,204119983","0,0280287236"
-36,"1,204119983",0
-37,"1,176091259","-0,0280287236"
-37,"1,176091259",0
-36,"1,204119983","0,0280287236"
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-36,"1,204119983",0
-35,"1,230448921","0,02632893872"
-35,"1,230448921",0
