,Differential 9 - 10 Last (V),Iluminação,Humidade,Anotacao
00:00:00,-0.042940,0,0,0
00:00:01,-0.042616,0,0,0
00:00:02,-0.042583,0,0,0
00:00:03,-0.042878,0,0,0
00:00:04,-0.042864,0,0,0
00:00:05,-0.042663,0,0,0
00:00:06,-0.042583,0,0,0
00:00:07,-0.042676,0,0,0
00:00:08,-0.042765,0,0,0
00:00:09,-0.042835,0,0,0
00:00:10,-0.042725,0,0,0
00:00:11,-0.042537,0,0,0
00:00:12,-0.042420,0,0,0
00:00:13,-0.042469,0,0,0
00:00:14,-0.042696,0,0,0
00:00:15,-0.042644,0,0,0
00:00:16,-0.042393,0,0,0
00:00:17,-0.042316,0,0,0
00:00:18,-0.042430,0,0,0
00:00:19,-0.042526,0,0,0
00:00:20,-0.042569,0,0,0
00:00:21,-0.042436,0,0,0
00:00:22,-0.042257,0,0,0
00:00:23,-0.042304,0,0,0
00:00:24,-0.042535,0,0,0
00:00:25,-0.042541,0,0,0
00:00:26,-0.042299,0,0,0
00:00:27,-0.042024,0,0,0
00:00:28,-0.041883,0,0,0
00:00:29,-0.041867,0,0,0
00:00:30,-0.041982,0,0,0
00:00:31,-0.042222,0,0,0
00:00:32,-0.042172,0,0,0
00:00:33,-0.041914,0,0,0
00:00:34,-0.041838,0,0,0
00:00:35,-0.041922,0,0,0
00:00:36,-0.042011,0,0,0
00:00:37,-0.042192,0,0,0
00:00:38,-0.042069,0,0,0
00:00:39,-0.041919,0,0,0
00:00:40,-0.041905,0,0,0
00:00:41,-0.042060,0,0,0
00:00:42,-0.042086,0,0,0
00:00:43,-0.041998,0,0,0
00:00:44,-0.041835,0,0,0
00:00:45,-0.041713,0,0,0
00:00:46,-0.041662,0,0,0
00:00:47,-0.041725,0,0,0
00:00:48,-0.041877,0,0,0
00:00:49,-0.041857,0,0,0
00:00:50,-0.041591,0,0,0
00:00:51,-0.041417,0,0,0
00:00:52,-0.041312,0,0,0
00:00:53,-0.041378,0,0,0
00:00:54,-0.041477,0,0,0
00:00:55,-0.041290,0,0,0
00:00:56,-0.041040,0,0,0
00:00:57,-0.040967,0,0,0
00:00:58,-0.041167,0,0,0
00:00:59,-0.041152,0,0,0
00:01:00,-0.040858,0,0,0
00:01:01,-0.040679,0,0,0
00:01:02,-0.040769,0,0,0
00:01:03,-0.040878,0,0,0
00:01:04,-0.040810,0,0,0
00:01:05,-0.039613,0,0,0
00:01:06,-0.039613,0,0,0
00:01:07,-0.039769,0,0,0
00:01:08,-0.039925,0,0,0
00:01:09,-0.039921,0,0,0
00:01:10,-0.039836,0,0,0
00:01:11,-0.039701,0,0,0
00:01:12,-0.039669,0,0,0
00:01:13,-0.039907,0,0,0
00:01:14,-0.040021,0,0,0
00:01:15,-0.039868,0,0,0
00:01:16,-0.039743,0,0,0
00:01:17,-0.039716,0,0,0
00:01:18,-0.039796,0,0,0
00:01:19,-0.040004,0,0,0
00:01:20,-0.039940,0,0,0
00:01:21,-0.039663,0,0,0
00:01:22,-0.039547,0,0,0
00:01:23,-0.039597,0,0,0
00:01:24,-0.039710,0,0,0
00:01:25,-0.039768,0,0,0
00:01:26,-0.039636,0,0,0
00:01:27,-0.039279,0,0,0
00:01:28,-0.039226,0,0,0
00:01:29,-0.039242,0,0,0
00:01:30,-0.039453,0,0,0
00:01:31,-0.039466,0,0,0
00:01:32,-0.039315,0,0,0
00:01:33,-0.039227,0,0,0
00:01:34,-0.039205,0,0,0
00:01:35,-0.039228,0,0,0
00:01:36,-0.039369,0,0,0
00:01:37,-0.039361,0,0,0
00:01:38,-0.039136,0,0,0
00:01:39,-0.039044,0,0,0
00:01:40,-0.039070,0,0,0
00:01:41,-0.039125,0,0,0
00:01:42,-0.039222,0,0,0
00:01:43,-0.039172,0,0,0
00:01:44,-0.038885,0,0,0
00:01:45,-0.038935,0,0,0
00:01:46,-0.039100,0,0,0
00:01:47,-0.039105,0,0,0
00:01:48,-0.039019,0,0,0
00:01:49,-0.038788,0,0,0
